Receive Delay : 102400 1049641.000000
Scan Delay : 351826.000000
Connect Delay : 5518317.000000
Disconnect Delay : 78.000000
--
Receive Delay : 102400 458804.000000
Scan Delay : 492745.000000
Connect Delay : 5740844.000000
Disconnect Delay : 77.000000
--
Receive Delay : 102400 489023.000000
Scan Delay : 2973719.000000
Connect Delay : 3135054.000000
Disconnect Delay : 154.000000
--
Receive Delay : 102400 455852.000000
Scan Delay : 3039002.000000
Connect Delay : 2955650.000000
Disconnect Delay : 72.000000
--
Receive Delay : 102400 451612.000000
Scan Delay : 1137977.000000
Connect Delay : 4858731.000000
Disconnect Delay : 140.000000
--
Receive Delay : 1048576 4851358.000000
Scan Delay : 1216545.000000
Connect Delay : 5443011.000000
Disconnect Delay : 75.000000
--
Receive Delay : 1048576 4644971.000000
Scan Delay : 5245772.000000
Connect Delay : 1818220.000000
Disconnect Delay : 71.000000
--
Receive Delay : 1048576 4833868.000000
Scan Delay : 4145059.000000
Connect Delay : 2849000.000000
Disconnect Delay : 74.000000
--
Receive Delay : 1048576 4737667.000000
Scan Delay : 2608157.000000
Connect Delay : 4328162.000000
Disconnect Delay : 57.000000
--
Receive Delay : 1048576 4810548.000000
Scan Delay : 1251488.000000
Connect Delay : 29792126.000000
Disconnect Delay : 74.000000
--
Receive Delay : 5242880 23852689.000000
Scan Delay : 3980850.000000
Connect Delay : 3093244.000000
Disconnect Delay : 73.000000
--
Receive Delay : 5242880 23357100.000000
Scan Delay : 7014718.000000
Connect Delay : 4182408.000000
Disconnect Delay : 73.000000
--
Receive Delay : 5242880 23300756.000000
Scan Delay : 1946626.000000
Connect Delay : 4164508.000000
Disconnect Delay : 73.000000
--
Receive Delay : 5242880 23242816.000000
Scan Delay : 2022174.000000
Connect Delay : 4153730.000000
Disconnect Delay : 74.000000
--
Receive Delay : 5242880 23385213.000000
Scan Delay : 1973814.000000
Connect Delay : 4189049.000000
Disconnect Delay : 74.000000
--
Receive Delay : 10485760 47542492.000000
Scan Delay : 744776.000000
Connect Delay : 5506871.000000
Disconnect Delay : 74.000000
--
Receive Delay : 10485760 46459086.000000
Scan Delay : 490200.000000
Connect Delay : 5473489.000000
Disconnect Delay : 76.000000
--
Receive Delay : 10485760 47274205.000000
Scan Delay : 4873481.000000
Connect Delay : 1768494.000000
Disconnect Delay : 74.000000
--
Receive Delay : 10485760 47161646.000000
Scan Delay : 4942687.000000
Connect Delay : 1755696.000000
Disconnect Delay : 72.000000
--
Receive Delay : 10485760 46850093.000000
Scan Delay : 5215641.000000
Connect Delay : 1904699.000000
Disconnect Delay : 71.000000
--
Receive Delay : 20971520 93601387.000000
Scan Delay : 2052163.000000
Connect Delay : 4690363.000000
Disconnect Delay : 73.000000
--
Receive Delay : 20971520 93016617.000000
Scan Delay : 1377027.000000
Connect Delay : 5460359.000000
Disconnect Delay : 76.000000
--
Receive Delay : 20971520 93454799.000000
Scan Delay : 3497595.000000
Connect Delay : 2872539.000000
Disconnect Delay : 75.000000
--
Receive Delay : 20971520 94519972.000000
Scan Delay : 5001899.000000
Connect Delay : 1601934.000000
Disconnect Delay : 72.000000
--
Receive Delay : 20971520 93323510.000000
Scan Delay : 2315273.000000
Connect Delay : 4104336.000000
Disconnect Delay : 93.000000
--
