Scan Delay : 20788343.000000
Connect Delay : 8189260.000000
Disconnect Delay : 73.000000
--
Scan Delay : 4860182.000000
Connect Delay : 1594766.000000
Disconnect Delay : 132.000000
--
Scan Delay : 2418000.000000
Connect Delay : 4156962.000000
Disconnect Delay : 139.000000
--
Scan Delay : 2376760.000000
Connect Delay : 4132576.000000
Disconnect Delay : 364.000000
--
Scan Delay : 2453068.000000
Connect Delay : 4150632.000000
Disconnect Delay : 160.000000
--
Scan Delay : 2487167.000000
Connect Delay : 4149492.000000
Disconnect Delay : 74.000000
--
Scan Delay : 726506.000000
Connect Delay : 5423322.000000
Disconnect Delay : 74.000000
--
Scan Delay : 4623736.000000
Connect Delay : 1589120.000000
Disconnect Delay : 72.000000
--
Scan Delay : 3327221.000000
Connect Delay : 2865059.000000
Disconnect Delay : 74.000000
--
Scan Delay : 4575307.000000
Connect Delay : 1600489.000000
Disconnect Delay : 75.000000
--
Scan Delay : 718574.000000
Connect Delay : 5439962.000000
Disconnect Delay : 72.000000
--
Scan Delay : 761904.000000
Connect Delay : 5462316.000000
Disconnect Delay : 73.000000
--
Scan Delay : 3819713.000000
Connect Delay : 2881071.000000
Disconnect Delay : 146.000000
--
Scan Delay : 3891139.000000
Connect Delay : 2865010.000000
Disconnect Delay : 73.000000
--
Scan Delay : 11700286.000000
Connect Delay : 5414521.000000
Disconnect Delay : 71.000000
--
Scan Delay : 1203838.000000
Connect Delay : 5439698.000000
Disconnect Delay : 75.000000
--
Scan Delay : 5360164.000000
Connect Delay : 1587928.000000
Disconnect Delay : 72.000000
--
Scan Delay : 20465511.000000
Connect Delay : 1592553.000000
Disconnect Delay : 72.000000
--
Scan Delay : 1732229.000000
Connect Delay : 4169191.000000
Disconnect Delay : 74.000000
--
Scan Delay : 1871457.000000
Connect Delay : 4202726.000000
Disconnect Delay : 72.000000
--
Scan Delay : 2089486.000000
Connect Delay : 4163545.000000
Disconnect Delay : 76.000000
--
Scan Delay : 4038591.000000
Connect Delay : 5449715.000000
Disconnect Delay : 75.000000
--
Scan Delay : 3344065.000000
Connect Delay : 2872067.000000
Disconnect Delay : 74.000000
--
Scan Delay : 2883191.000000
Connect Delay : 2907764.000000
Disconnect Delay : 72.000000
--
Scan Delay : 1831564.000000
Connect Delay : 4165613.000000
Disconnect Delay : 72.000000
--
