1: 102400 410998.000000
2: 102400 417623.000000
3: 102400 411468.000000
4: 102400 436497.000000
5: 102400 423911.000000
6: 1048576 4135264.000000
7: 1048576 4160228.000000
8: 1048576 4112724.000000
9: 1048576 4078790.000000
10: 1048576 4090632.000000
11: 5242880 20600544.000000
12: 5242880 20515313.000000
13: 5242880 20583642.000000
14: 5242880 20576446.000000
15: 5242880 20494043.000000
16: 10485760 40621295.000000
17: 10485760 41071305.000000
18: 10485760 41101173.000000
19: 10485760 40996585.000000
20: 10485760 41027925.000000
21: 20971520 82034913.000000
22: 20971520 81165986.000000
23: 20971520 82234211.000000
24: 20971520 82410735.000000
25: 20971520 82261583.000000
