Receive Delay : 102400 484931.000000
Receive Delay : 102400 663942.000000
Receive Delay : 102400 633414.000000
Receive Delay : 102400 512651.000000
Receive Delay : 102400 601407.000000
Receive Delay : 1048576 5336121.000000
Receive Delay : 1048576 5466150.000000
Receive Delay : 1048576 5603799.000000
Receive Delay : 1048576 5430237.000000
Receive Delay : 1048576 5337387.000000
Receive Delay : 5242880 26690128.000000
Receive Delay : 5242880 26770771.000000
Receive Delay : 5242880 27017122.000000
Receive Delay : 5242880 26978840.000000
Receive Delay : 5242880 26723797.000000
Receive Delay : 10485760 53635958.000000
Receive Delay : 10485760 53894351.000000
Receive Delay : 10485760 53461141.000000
Receive Delay : 10485760 54668868.000000
Receive Delay : 10485760 54108550.000000
Receive Delay : 20971520 108766653.000000
Receive Delay : 20971520 108768753.000000
Receive Delay : 20971520 108772559.000000
Receive Delay : 20971520 109417331.000000
Receive Delay : 20971520 111824276.000000
