1: 102400 760229.000000
2: 102400 715616.000000
3: 102400 714411.000000
4: 102400 720381.000000
5: 102400 773151.000000
6: 1048576 9129684.000000
7: 1048576 9288336.000000
8: 1048576 9258838.000000
9: 1048576 9299560.000000
10: 1048576 9231368.000000
11: 5242880 47116137.000000
12: 5242880 46960093.000000
13: 5242880 47048671.000000
14: 5242880 47116538.000000
15: 5242880 47215237.000000
16: 10485760 94906231.000000
17: 10485760 93929599.000000
18: 10485760 94111059.000000
19: 10485760 94159335.000000
20: 10485760 94286923.000000
21: 20971520 188551050.000000
22: 20971520 187347960.000000
23: 20971520 188035260.000000
24: 20971520 187625176.000000
25: 20971520 187178983.000000
