1: 102400 1616915.000000
2: 102400 1405657.000000
3: 102400 934378.000000
4: 102400 1763001.000000
5: 102400 1762895.000000
6: 1048576 17393030.000000
7: 1048576 16316117.000000
8: 1048576 16831089.000000
9: 1048576 18002182.000000
10: 1048576 17571236.000000
11: 5242880 88214016.000000
12: 5242880 83033032.000000
13: 5242880 87955459.000000
14: 5242880 88354567.000000
15: 5242880 87548399.000000
16: 10485760 174301438.000000
17: 10485760 173908561.000000
18: 10485760 174881294.000000
19: 10485760 173706100.000000
20: 10485760 173934554.000000
21: 20971520 351939832.000000
22: 20971520 346079779.000000
23: 20971520 352296969.000000
24: 20971520 344561693.000000
25: 20971520 347321301.000000
