Receive Delay : 102400 35602.000000
Receive Delay : 102400 29492.000000
Receive Delay : 102400 37889.000000
Receive Delay : 102400 38592.000000
Receive Delay : 102400 45071.000000
Receive Delay : 1048576 376526.000000
Receive Delay : 1048576 367044.000000
Receive Delay : 1048576 343259.000000
Receive Delay : 1048576 351200.000000
Receive Delay : 1048576 414283.000000
Receive Delay : 5242880 1733284.000000
Receive Delay : 5242880 2108824.000000
Receive Delay : 5242880 1831788.000000
Receive Delay : 5242880 1756162.000000
Receive Delay : 5242880 2208216.000000
Receive Delay : 10485760 3595532.000000
Receive Delay : 10485760 2997955.000000
Receive Delay : 10485760 3169742.000000
Receive Delay : 10485760 3050264.000000
Receive Delay : 10485760 3106190.000000
Receive Delay : 20971520 5889779.000000
Receive Delay : 20971520 6404925.000000
Receive Delay : 20971520 6335980.000000
Receive Delay : 20971520 6394682.000000
Receive Delay : 20971520 6302829.000000
