1: 102400 37453.000000
2: 102400 57443.000000
3: 102400 41091.000000
4: 102400 45737.000000
5: 102400 54545.000000
6: 1048576 324865.000000
7: 1048576 453639.000000
8: 1048576 343295.000000
9: 1048576 315907.000000
10: 1048576 326119.000000
11: 5242880 1621652.000000
12: 5242880 1605600.000000
13: 5242880 1575278.000000
14: 5242880 1674099.000000
15: 5242880 1682056.000000
16: 10485760 3193033.000000
17: 10485760 3158071.000000
18: 10485760 3516637.000000
19: 10485760 3443888.000000
20: 10485760 3645680.000000
21: 20971520 6492006.000000
22: 20971520 6821200.000000
23: 20971520 6923297.000000
24: 20971520 6546364.000000
25: 20971520 6836649.000000
