Receive Delay : 102400 80862.000000
Scan Delay : 1191968.000000
Connect Delay : 3648.000000
Disconnect Delay : 65.000000
--
Receive Delay : 102400 58307.000000
Scan Delay : 1214624.000000
Connect Delay : 2927.000000
Disconnect Delay : 98.000000
--
Receive Delay : 102400 58576.000000
Scan Delay : 1231212.000000
Connect Delay : 3649.000000
Disconnect Delay : 49.000000
--
Receive Delay : 102400 59296.000000
Scan Delay : 1220998.000000
Connect Delay : 3673.000000
Disconnect Delay : 65.000000
--
Receive Delay : 102400 58712.000000
Scan Delay : 1229811.000000
Connect Delay : 3465.000000
Disconnect Delay : 85.000000
--
Receive Delay : 1048576 418044.000000
Scan Delay : 867543.000000
Connect Delay : 3585.000000
Disconnect Delay : 64.000000
--
Receive Delay : 1048576 406612.000000
Scan Delay : 886025.000000
Connect Delay : 3494.000000
Disconnect Delay : 71.000000
--
Receive Delay : 1048576 358374.000000
Scan Delay : 944797.000000
Connect Delay : 3495.000000
Disconnect Delay : 49.000000
--
Receive Delay : 1048576 483856.000000
Scan Delay : 723514.000000
Connect Delay : 4479.000000
Disconnect Delay : 90.000000
--
Receive Delay : 1048576 403700.000000
Scan Delay : 938651.000000
Connect Delay : 38141.000000
Disconnect Delay : 49.000000
--
Receive Delay : 5242880 1816474.000000
Scan Delay : 2448287.000000
Connect Delay : 3326.000000
Disconnect Delay : 49.000000
--
Receive Delay : 5242880 2175478.000000
Scan Delay : 2144185.000000
Connect Delay : 3650.000000
Disconnect Delay : 51.000000
--
Receive Delay : 5242880 1976350.000000
Scan Delay : 2344289.000000
Connect Delay : 3829.000000
Disconnect Delay : 52.000000
--
Receive Delay : 5242880 2185611.000000
Scan Delay : 2139601.000000
Connect Delay : 3498.000000
Disconnect Delay : 65.000000
--
Receive Delay : 5242880 2054834.000000
Scan Delay : 2314637.000000
Connect Delay : 37634.000000
Disconnect Delay : 51.000000
--
Receive Delay : 10485760 3597566.000000
Scan Delay : 732490.000000
Connect Delay : 15410.000000
Disconnect Delay : 52.000000
--
Receive Delay : 10485760 3932090.000000
Scan Delay : 419207.000000
Connect Delay : 3838.000000
Disconnect Delay : 90.000000
--
Receive Delay : 10485760 4006095.000000
Scan Delay : 356354.000000
Connect Delay : 3720.000000
Disconnect Delay : 50.000000
--
Receive Delay : 10485760 3801521.000000
Scan Delay : 575549.000000
Connect Delay : 34793.000000
Disconnect Delay : 51.000000
--
Receive Delay : 10485760 3692601.000000
Scan Delay : 712815.000000
Connect Delay : 3573.000000
Disconnect Delay : 50.000000
--
Receive Delay : 20971520 7874528.000000
Scan Delay : 2536522.000000
Connect Delay : 47875.000000
Disconnect Delay : 109.000000
--
Receive Delay : 20971520 7293629.000000
Scan Delay : 3116877.000000
Connect Delay : 27356.000000
Disconnect Delay : 51.000000
--
Receive Delay : 20971520 7563091.000000
Scan Delay : 2867112.000000
Connect Delay : 8125.000000
Disconnect Delay : 52.000000
--
Receive Delay : 20971520 8173289.000000
Scan Delay : 2237423.000000
Connect Delay : 3762.000000
Disconnect Delay : 51.000000
--
Receive Delay : 20971520 7975082.000000
Scan Delay : 2489026.000000
Connect Delay : 6560.000000
Disconnect Delay : 51.000000
--
