1: 102400 348009.000000
2: 102400 168131.000000
3: 102400 346801.000000
4: 102400 258968.000000
5: 102400 212588.000000
6: 1048576 3351774.000000
7: 1048576 1573553.000000
8: 1048576 1939493.000000
9: 1048576 2050975.000000
10: 1048576 2103986.000000
11: 5242880 11204758.000000
12: 5242880 9959890.000000
13: 5242880 10286920.000000
14: 5242880 10652865.000000
15: 5242880 11275103.000000
16: 10485760 18386837.000000
17: 10485760 21882800.000000
18: 10485760 23931943.000000
19: 10485760 21695448.000000
20: 10485760 22953722.000000
21: 20971520 45201145.000000
22: 20971520 39347502.000000
23: 20971520 35746137.000000
24: 20971520 35363627.000000
25: 20971520 36007266.000000
