1: 102400 413419.000000
2: 1048576 3539512.000000
3: 5242880 17157526.000000
4: 10485760 27620550.000000
5: 20971520 52266182.000000
1: 102400 339340.000000
2: 1048576 2519050.000000
3: 5242880 12253002.000000
4: 10485760 21313648.000000
5: 20971520 50280971.000000
1: 102400 277157.000000
2: 1048576 2872306.000000
3: 5242880 14891315.000000
4: 10485760 29184953.000000
5: 20971520 55319131.000000
1: 102400 65542.000000
2: 1048576 1122959.000000
3: 5242880 8028241.000000
4: 10485760 14067448.000000
5: 20971520 24327330.000000
1: 102400 97464.000000
2: 1048576 2077404.000000
3: 5242880 6467199.000000
4: 10485760 19582958.000000
5: 20971520 25834020.000000
1: 102400 117614.000000
2: 1048576 2157728.000000
3: 5242880 6968397.000000
4: 10485760 11343354.000000
5: 20971520 25347145.000000
1: 102400 67898.000000
2: 1048576 2229822.000000
3: 5242880 7885823.000000
4: 10485760 11911724.000000
5: 20971520 25785581.000000
