1: 102400 69321.000000
2: 102400 129878.000000
3: 102400 97534.000000
4: 102400 105527.000000
5: 102400 88222.000000
6: 1048576 969967.000000
7: 1048576 930349.000000
8: 1048576 1029610.000000
9: 1048576 1630631.000000
10: 1048576 996218.000000
11: 5242880 5509224.000000
12: 5242880 5968140.000000
13: 5242880 7969942.000000
14: 5242880 6007195.000000
15: 5242880 5943600.000000
16: 10485760 12069444.000000
17: 10485760 12424111.000000
18: 10485760 15107660.000000
19: 10485760 13058744.000000
20: 10485760 13368721.000000
21: 20971520 27737026.000000
22: 20971520 27074629.000000
23: 20971520 26474334.000000
24: 20971520 23734386.000000
25: 20971520 25658394.000000
