1: 102400 43094.000000
2: 102400 43626.000000
1: 102400 38291.000000
1: 102400 36414.000000
1: 102400 41489.000000
2: 1048576 322194.000000
3: 1048576 293666.000000
4: 1048576 322889.000000
2: 1048576 291105.000000
2: 1048576 309356.000000
2: 5242880 1678569.000000
3: 5242880 1592552.000000
4: 5242880 1568856.000000
2: 5242880 1537369.000000
3: 5242880 1512408.000000
4: 10485760 3328118.000000
5: 10485760 3052917.000000
2: 10485760 3341041.000000
2: 10485760 3022722.000000
1: 10485760 3273408.000000
2: 10485760 3203839.000000
3: 20971520 6126383.000000
1: 20971520 6540257.000000
2: 20971520 6106291.000000
3: 20971520 6157127.000000
4: 20971520 6295161.000000
